region,lat,lon,temperature,water_quality,humidity,ndvi,wind,trend_rate,timestamp
Arabian_Sea_Coast,18.82,72.58,29.4,78,72,0.42,7.8,2.4,1
Arabian_Sea_Coast,18.82,72.58,30.1,74,75,0.48,8.6,3.1,2
Arabian_Sea_Coast,18.82,72.58,31.2,68,78,0.56,9.3,4.4,3
Arabian_Sea_Coast,18.82,72.58,31.8,64,81,0.61,10.1,5.2,4
Bay_of_Bengal_Shelf,14.95,80.25,28.2,82,74,0.39,6.9,1.8,1
Bay_of_Bengal_Shelf,14.95,80.25,29.0,77,77,0.46,7.5,2.7,2
Bay_of_Bengal_Shelf,14.95,80.25,30.3,70,80,0.54,8.8,4.0,3
Bay_of_Bengal_Shelf,14.95,80.25,31.1,66,83,0.59,9.5,4.8,4
Gulf_of_Mannar,8.95,79.15,27.8,88,70,0.32,5.5,0.7,1
Gulf_of_Mannar,8.95,79.15,28.6,84,72,0.37,6.2,1.5,2
Gulf_of_Mannar,8.95,79.15,29.1,80,74,0.42,7.0,2.2,3
Gulf_of_Mannar,8.95,79.15,29.6,76,76,0.46,7.7,2.9,4
Lakshadweep_Reef,10.57,72.64,28.1,92,68,0.28,5.2,0.4,1
Lakshadweep_Reef,10.57,72.64,28.0,93,69,0.29,5.0,0.5,2
Lakshadweep_Reef,10.57,72.64,28.2,91,70,0.31,5.4,0.8,3
Lakshadweep_Reef,10.57,72.64,28.3,90,71,0.33,5.8,1.0,4
Andaman_Shelf,11.74,92.72,27.9,89,73,0.31,5.9,0.9,1
Andaman_Shelf,11.74,92.72,28.0,87,74,0.34,6.4,1.3,2
Andaman_Shelf,11.74,92.72,28.1,85,75,0.37,7.1,1.8,3
Andaman_Shelf,11.74,92.72,28.4,83,76,0.41,7.8,2.3,4
Sundarbans_Estuary,21.94,89.18,29.1,75,79,0.45,8.4,2.8,1
Sundarbans_Estuary,21.94,89.18,30.0,69,82,0.53,9.2,3.9,2
Sundarbans_Estuary,21.94,89.18,31.0,61,86,0.64,10.6,5.4,3
Sundarbans_Estuary,21.94,89.18,31.7,56,89,0.72,11.4,6.5,4
